created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2022-10-17T14:25:09-05:00,1,,,,,,,
2022-10-17T14:25:32-05:00,2,,,,,,,
2022-10-17T14:26:40-05:00,3,,,,,,,
2022-10-17T14:27:00-05:00,4,,,,,,,
2022-10-17T14:27:26-05:00,5,,,,,,,
2022-10-17T14:27:56-05:00,6,,,,,,,
2022-10-17T14:28:28-05:00,7,,,,,,,
2022-10-17T14:28:55-05:00,8,,,,,,,
2022-10-17T14:29:11-05:00,9,,,,,,,
2022-10-17T14:29:35-05:00,10,,,,,,,
2022-10-17T14:30:02-05:00,11,,,,,,,
2022-10-17T14:30:26-05:00,12,,,,,,,
2022-10-17T14:30:42-05:00,13,,,,,,,
2022-10-17T14:31:05-05:00,14,,,,,,,
2022-10-17T14:31:21-05:00,15,,,,,,,
2022-10-17T14:31:59-05:00,16,,,,,,,
2022-10-17T14:32:16-05:00,17,,,,,,,
2022-10-17T14:32:34-05:00,18,,,,,,,
2022-10-17T14:32:53-05:00,19,,,,,,,
2022-10-17T14:33:19-05:00,20,,,,,,,
2022-10-17T14:33:41-05:00,21,,,,,,,
2022-10-17T14:35:54-05:00,22,,,,,,,
2022-10-17T14:36:29-05:00,23,,,,,,,
2022-10-17T14:36:51-05:00,24,,,,,,,
2022-10-17T14:37:44-05:00,25,,,,,,,
2022-10-17T14:38:17-05:00,26,,,,,,,
2022-10-17T14:38:47-05:00,27,,,,,,,
2022-10-17T14:39:13-05:00,28,,,,,,,
2022-10-17T14:40:06-05:00,29,,,,,,,
2022-10-17T14:41:05-05:00,30,,,,,,,
2022-10-17T14:41:21-05:00,31,,,,,,,
2022-10-17T14:41:40-05:00,32,,,,,,,
2022-10-17T14:42:11-05:00,33,,,,,,,
2022-10-17T14:42:28-05:00,34,,,,,,,
2022-10-17T14:43:19-05:00,35,,,,,,,
2022-10-17T14:44:10-05:00,36,,,,,,,
2022-10-17T14:44:38-05:00,37,,,,,,,
2022-10-17T14:47:08-05:00,38,,,,,,,
2022-10-17T14:47:24-05:00,39,,,,,,,
2022-10-17T14:48:39-05:00,40,,,,,,,
2022-10-17T14:49:29-05:00,41,,,,,,,
2022-10-17T14:50:01-05:00,42,,,,,,,
2022-10-17T14:50:48-05:00,43,,,,,,,
2022-10-17T14:51:26-05:00,44,,,,,,,
2022-10-17T14:52:00-05:00,45,,,,,,,
2022-10-17T14:53:15-05:00,46,,,,,,,
2022-10-17T14:53:43-05:00,47,,,,,,,
2022-10-17T14:54:34-05:00,48,0,,,,,,
2022-10-17T14:55:02-05:00,49,,0,,,,,
2022-10-17T14:55:31-05:00,50,,,0,,,,
